time,enrolled,available,waitlisted,total
2023-05-25T01:17:25,0,15,0,15
2023-05-25T01:29:02,0,15,0,15
2023-05-25T01:40:36,0,15,0,15
2023-05-25T01:52:22,0,15,0,15
2023-05-25T02:03:57,0,15,0,15
2023-05-25T02:15:33,0,15,0,15
2023-05-25T02:27:09,0,15,0,15
2023-05-25T02:38:42,0,15,0,15
2023-05-25T02:50:16,0,15,0,15
2023-05-25T03:01:48,0,15,0,15
2023-05-25T03:13:26,0,15,0,15
2023-05-25T03:25:25,0,15,0,15
2023-05-25T03:37:02,0,15,0,15
2023-05-25T03:48:38,0,15,0,15
2023-05-25T04:00:13,0,15,0,15
2023-05-25T04:19:37,0,15,0,15
2023-05-25T04:31:37,0,15,0,15
2023-05-25T04:43:14,0,15,0,15
2023-05-25T04:54:49,0,15,0,15
2023-05-25T05:06:26,0,15,0,15
2023-05-25T05:18:03,0,15,0,15
2023-05-25T05:29:39,0,15,0,15
2023-05-25T05:41:15,0,15,0,15
2023-05-25T05:52:51,0,15,0,15
2023-05-25T06:04:28,0,15,0,15
2023-05-25T06:16:03,0,15,0,15
2023-05-25T06:27:38,0,15,0,15
2023-05-25T06:39:13,0,15,0,15
2023-05-25T06:50:48,0,15,0,15
2023-05-25T07:02:24,0,15,0,15
2023-05-25T07:13:59,0,15,0,15
2023-05-25T07:25:33,0,15,0,15
2023-05-25T07:37:07,0,15,0,15
2023-05-25T07:48:45,0,15,0,15
2023-05-25T08:00:20,0,15,0,15
2023-05-25T08:11:54,0,15,0,15
2023-05-25T08:23:38,0,15,0,15
2023-05-25T08:35:12,0,15,0,15
2023-05-25T08:46:45,0,15,0,15
2023-05-25T08:58:18,0,15,0,15
2023-05-25T09:09:51,0,15,0,15
2023-05-25T09:21:24,0,15,0,15
2023-05-25T09:32:56,0,15,0,15
2023-05-25T09:44:29,0,15,0,15
2023-05-25T09:56:02,0,15,0,15
2023-05-25T10:07:35,0,15,0,15
2023-05-25T10:19:20,0,15,0,15
2023-05-25T10:30:53,0,15,0,15
2023-05-25T10:42:25,0,15,0,15
2023-05-25T10:54:08,0,15,0,15
2023-05-25T11:05:40,0,15,0,15
2023-05-25T11:17:13,0,15,0,15
2023-05-25T11:28:46,0,15,0,15
2023-05-25T11:40:19,0,15,0,15
2023-05-25T11:51:52,0,15,0,15
2023-05-25T12:03:36,0,15,0,15
2023-05-25T12:15:08,0,15,0,15
2023-05-25T12:26:42,0,15,0,15
2023-05-25T12:38:14,0,15,0,15
2023-05-25T12:49:47,0,15,0,15
2023-05-25T13:01:30,0,15,0,15
2023-05-25T13:13:03,0,15,0,15
2023-05-25T13:24:36,0,15,0,15
2023-05-25T13:36:09,0,15,0,15
2023-05-25T13:47:42,0,15,0,15
2023-05-25T13:59:16,0,15,0,15
