time,enrolled,available,waitlisted,total
2023-05-25T01:20:01,0,120,0,120
2023-05-25T01:31:37,0,120,0,120
2023-05-25T01:43:22,0,120,0,120
2023-05-25T01:54:57,0,120,0,120
2023-05-25T02:06:32,0,120,0,120
2023-05-25T02:18:09,0,120,0,120
2023-05-25T02:29:44,0,120,0,120
2023-05-25T02:41:18,0,120,0,120
2023-05-25T02:52:50,0,120,0,120
2023-05-25T03:04:24,0,120,0,120
2023-05-25T03:16:02,0,120,0,120
2023-05-25T03:28:00,0,120,0,120
2023-05-25T03:39:37,0,120,0,120
2023-05-25T03:51:13,0,120,0,120
2023-05-25T04:02:49,0,120,0,120
2023-05-25T04:22:36,0,120,0,120
2023-05-25T04:34:13,0,120,0,120
2023-05-25T04:45:49,0,120,0,120
2023-05-25T04:57:25,0,120,0,120
2023-05-25T05:09:02,0,120,0,120
2023-05-25T05:20:38,0,120,0,120
2023-05-25T05:32:15,0,120,0,120
2023-05-25T05:43:50,0,120,0,120
2023-05-25T05:55:26,0,120,0,120
2023-05-25T06:07:03,0,120,0,120
2023-05-25T06:18:38,0,120,0,120
2023-05-25T06:30:13,0,120,0,120
2023-05-25T06:41:48,0,120,0,120
2023-05-25T06:53:24,0,120,0,120
2023-05-25T07:04:59,0,120,0,120
2023-05-25T07:16:34,0,120,0,120
2023-05-25T07:28:08,0,120,0,120
2023-05-25T07:39:45,0,120,0,120
2023-05-25T07:51:20,0,120,0,120
2023-05-25T08:02:55,0,120,0,120
2023-05-25T08:14:29,0,120,0,120
2023-05-25T08:26:14,0,120,0,120
2023-05-25T08:37:47,0,120,0,120
2023-05-25T08:49:19,0,120,0,120
2023-05-25T09:00:53,0,120,0,120
2023-05-25T09:12:26,0,120,0,120
2023-05-25T09:23:58,0,120,0,120
2023-05-25T09:35:31,0,120,0,120
2023-05-25T09:47:03,0,120,0,120
2023-05-25T09:58:37,0,120,0,120
2023-05-25T10:10:22,0,120,0,120
2023-05-25T10:21:54,0,120,0,120
2023-05-25T10:33:27,0,120,0,120
2023-05-25T10:45:00,0,120,0,120
2023-05-25T10:56:43,0,120,0,120
2023-05-25T11:08:15,0,120,0,120
2023-05-25T11:19:48,0,120,0,120
2023-05-25T11:31:21,0,120,0,120
2023-05-25T11:42:53,0,120,0,120
2023-05-25T11:54:27,0,120,0,120
2023-05-25T12:06:11,0,120,0,120
2023-05-25T12:17:43,0,120,0,120
2023-05-25T12:29:16,0,120,0,120
2023-05-25T12:40:49,0,120,0,120
2023-05-25T12:52:22,0,120,0,120
2023-05-25T13:04:05,0,120,0,120
2023-05-25T13:15:38,0,120,0,120
2023-05-25T13:27:11,0,120,0,120
2023-05-25T13:38:44,0,120,0,120
2023-05-25T13:50:17,0,120,0,120
2023-05-25T14:02:01,0,120,0,120
2023-05-25T14:13:35,0,120,0,120
2023-05-25T14:25:08,0,120,0,120
2023-05-25T14:36:41,0,120,0,120
2023-05-25T14:48:14,0,120,0,120
2023-05-25T14:59:58,0,120,0,120
2023-05-25T15:11:32,0,120,0,120
2023-05-25T15:23:06,0,120,0,120
2023-05-25T15:34:41,0,120,0,120
2023-05-25T15:46:15,0,120,0,120
2023-05-25T15:57:50,0,120,0,120
2023-05-25T16:09:35,0,120,0,120
2023-05-25T16:21:10,0,120,0,120
2023-05-25T16:32:45,0,120,0,120
2023-05-25T16:44:20,0,120,0,120
2023-05-25T16:55:56,0,120,0,120
2023-05-25T17:07:32,0,120,0,120
2023-05-25T17:19:20,0,120,0,120
2023-05-25T17:30:55,0,120,0,120
2023-05-25T17:42:31,0,120,0,120
2023-05-25T17:54:06,0,120,0,120
2023-05-25T18:05:43,0,120,0,120
2023-05-25T18:17:19,0,120,0,120
2023-05-25T18:28:54,0,120,0,120
2023-05-25T18:40:40,0,120,0,120
2023-05-25T18:52:16,0,120,0,120
2023-05-25T19:03:52,0,120,0,120
2023-05-25T19:15:28,0,120,0,120
2023-05-25T19:27:03,0,120,0,120
2023-05-25T19:38:39,0,120,0,120
2023-05-25T19:50:15,0,120,0,120
2023-05-25T20:02:01,0,120,0,120
2023-05-25T20:13:37,0,120,0,120
2023-05-25T20:25:13,0,120,0,120
2023-05-25T20:36:48,0,120,0,120
2023-05-25T20:48:24,0,120,0,120
2023-05-25T21:00:00,0,120,0,120
2023-05-25T21:11:36,0,120,0,120
2023-05-25T21:23:23,0,120,0,120
2023-05-25T21:34:58,0,120,0,120
2023-05-25T21:46:34,0,120,0,120
2023-05-25T21:58:09,0,120,0,120
2023-05-25T22:09:45,0,120,0,120
2023-05-25T22:21:20,0,120,0,120
2023-05-25T22:32:56,0,120,0,120
2023-05-25T22:44:42,0,120,0,120
2023-05-25T22:56:17,0,120,0,120
2023-05-25T23:07:56,0,120,0,120
2023-05-25T23:19:31,0,120,0,120
2023-05-25T23:31:07,0,120,0,120
2023-05-25T23:42:43,0,120,0,120
2023-05-25T23:54:20,0,120,0,120
2023-05-26T00:06:14,0,120,0,120
2023-05-26T00:17:55,0,120,0,120
2023-05-26T00:29:34,0,120,0,120
2023-05-26T00:41:13,0,120,0,120
2023-05-26T00:52:52,0,120,0,120
2023-05-26T01:04:31,0,120,0,120
2023-05-26T01:16:10,0,120,0,120
2023-05-26T01:27:48,0,120,0,120
2023-05-26T01:39:26,0,120,0,120
2023-05-26T01:51:14,0,120,0,120
2023-05-26T02:02:56,0,120,0,120
2023-05-26T02:14:34,0,120,0,120
2023-05-26T02:26:11,0,120,0,120
2023-05-26T02:37:50,0,120,0,120
2023-05-26T02:49:39,0,120,0,120
2023-05-26T03:01:19,0,120,0,120
2023-05-26T03:12:59,0,120,0,120
2023-05-26T03:24:40,0,120,0,120
2023-05-26T03:36:18,0,120,0,120
2023-05-26T03:47:57,0,120,0,120
2023-05-26T03:59:35,0,120,0,120
2023-05-26T04:11:23,0,120,0,120
2023-05-26T04:33:24,0,120,0,120
2023-05-26T04:45:27,0,120,0,120
2023-05-26T04:57:08,0,120,0,120
2023-05-26T05:08:50,0,120,0,120
2023-05-26T05:20:29,0,120,0,120
2023-05-26T05:32:08,0,120,0,120
2023-05-26T05:43:47,0,120,0,120
2023-05-26T05:55:26,0,120,0,120
2023-05-26T06:07:04,0,120,0,120
2023-05-26T06:18:44,0,120,0,120
2023-05-26T06:30:22,0,120,0,120
2023-05-26T06:42:01,0,120,0,120
2023-05-26T06:53:39,0,120,0,120
2023-05-26T07:05:18,0,120,0,120
2023-05-26T07:16:56,0,120,0,120
2023-05-26T07:28:35,0,120,0,120
2023-05-26T07:40:20,0,120,0,120
2023-05-26T07:51:57,0,120,0,120
2023-05-26T08:03:34,0,120,0,120
2023-05-26T08:15:10,0,120,0,120
2023-05-26T08:26:46,0,120,0,120
2023-05-26T08:38:22,0,120,0,120
2023-05-26T08:49:58,0,120,0,120
2023-05-26T09:01:34,0,120,0,120
2023-05-26T09:13:11,0,120,0,120
2023-05-26T09:24:47,0,120,0,120
2023-05-26T09:36:34,0,120,0,120
2023-05-26T09:48:10,1,119,0,120
2023-05-26T09:59:46,2,118,0,120
2023-05-26T10:11:23,2,118,0,120
2023-05-26T10:22:59,2,118,0,120
2023-05-26T10:34:35,2,118,0,120
2023-05-26T10:46:23,2,118,0,120
2023-05-26T10:57:59,2,118,0,120
2023-05-26T11:09:36,3,117,0,120
2023-05-26T11:21:13,3,117,0,120
2023-05-26T11:32:49,3,117,0,120
2023-05-26T11:44:35,3,117,0,120
2023-05-26T11:56:11,3,117,0,120
2023-05-26T12:07:48,3,117,0,120
2023-05-26T12:19:24,3,117,0,120
2023-05-26T12:31:00,3,117,0,120
2023-05-26T12:42:47,4,116,0,120
2023-05-26T12:54:23,4,116,0,120
2023-05-26T13:05:59,4,116,0,120
2023-05-26T13:17:35,4,116,0,120
2023-05-26T13:29:21,4,116,0,120
2023-05-26T13:40:57,4,116,0,120
2023-05-26T13:52:33,5,115,0,120
2023-05-26T14:04:09,6,114,0,120
2023-05-26T14:15:44,6,114,0,120
2023-05-26T14:27:31,6,114,0,120
2023-05-26T14:39:08,6,114,0,120
2023-05-26T14:50:44,8,112,0,120
2023-05-26T15:02:20,9,111,0,120
2023-05-26T15:13:58,9,111,0,120
2023-05-26T15:25:45,10,110,0,120
2023-05-26T15:37:20,10,110,0,120
2023-05-26T15:48:55,10,110,0,120
2023-05-26T16:00:32,11,109,0,120
2023-05-26T16:12:08,13,107,0,120
2023-05-26T16:23:43,13,107,0,120
2023-05-26T16:35:29,13,107,0,120
2023-05-26T16:47:05,13,107,0,120
2023-05-26T16:58:40,13,107,0,120
2023-05-26T17:10:17,14,106,0,120
2023-05-26T17:21:53,16,104,0,120
2023-05-26T17:33:29,16,104,0,120
2023-05-26T17:45:14,17,103,0,120
2023-05-26T17:56:50,17,103,0,120
2023-05-26T18:08:26,17,103,0,120
2023-05-26T18:20:02,17,103,0,120
2023-05-26T18:31:38,17,103,0,120
2023-05-26T18:43:13,18,102,0,120
2023-05-26T18:54:59,18,102,0,120
2023-05-26T19:06:35,18,102,0,120
2023-05-26T19:18:12,18,102,0,120
2023-05-26T19:29:48,18,102,0,120
2023-05-26T19:41:23,18,102,0,120
2023-05-26T19:52:59,18,102,0,120
