time,enrolled,available,waitlisted,total
2023-05-25T01:14:47,0,21,0,21
2023-05-25T01:26:23,0,21,0,21
2023-05-25T01:37:59,0,21,0,21
2023-05-25T01:49:43,0,21,0,21
2023-05-25T02:01:19,0,21,0,21
2023-05-25T02:12:55,0,21,0,21
2023-05-25T02:24:31,0,21,0,21
2023-05-25T02:36:04,0,21,0,21
2023-05-25T02:47:38,0,21,0,21
2023-05-25T02:59:11,0,21,0,21
2023-05-25T03:10:47,0,21,0,21
2023-05-25T03:22:26,0,21,0,21
2023-05-25T03:34:23,0,21,0,21
2023-05-25T03:45:59,0,21,0,21
2023-05-25T03:57:35,0,21,0,21
2023-05-25T04:16:57,0,21,0,21
2023-05-25T04:28:59,0,21,0,21
2023-05-25T04:40:35,0,21,0,21
2023-05-25T04:52:11,0,21,0,21
2023-05-25T05:03:47,0,21,0,21
2023-05-25T05:15:24,0,21,0,21
2023-05-25T05:27:00,0,21,0,21
2023-05-25T05:38:37,0,21,0,21
2023-05-25T05:50:13,0,21,0,21
2023-05-25T06:01:49,0,21,0,21
2023-05-25T06:13:25,0,21,0,21
2023-05-25T06:25:00,0,21,0,21
2023-05-25T06:36:35,0,21,0,21
2023-05-25T06:48:10,0,21,0,21
2023-05-25T06:59:45,0,21,0,21
2023-05-25T07:11:21,0,21,0,21
2023-05-25T07:22:55,0,21,0,21
2023-05-25T07:34:29,0,21,0,21
2023-05-25T07:46:06,0,21,0,21
2023-05-25T07:57:42,0,21,0,21
2023-05-25T08:09:16,0,21,0,21
2023-05-25T08:21:01,0,21,0,21
2023-05-25T08:32:35,0,21,0,21
2023-05-25T08:44:07,0,21,0,21
2023-05-25T08:55:39,0,21,0,21
2023-05-25T09:07:13,0,21,0,21
2023-05-25T09:18:46,0,21,0,21
2023-05-25T09:30:19,0,21,0,21
2023-05-25T09:41:51,0,21,0,21
2023-05-25T09:53:24,0,21,0,21
2023-05-25T10:04:58,0,21,0,21
2023-05-25T10:16:42,0,21,0,21
2023-05-25T10:28:15,0,21,0,21
2023-05-25T10:39:48,0,21,0,21
2023-05-25T10:51:20,0,21,0,21
2023-05-25T11:03:03,0,21,0,21
2023-05-25T11:14:35,0,21,0,21
2023-05-25T11:26:08,0,21,0,21
2023-05-25T11:37:41,0,21,0,21
2023-05-25T11:49:14,0,21,0,21
2023-05-25T12:00:58,0,21,0,21
2023-05-25T12:12:31,0,21,0,21
2023-05-25T12:24:04,0,21,0,21
2023-05-25T12:35:37,0,21,0,21
2023-05-25T12:47:10,0,21,0,21
2023-05-25T12:58:53,0,21,0,21
2023-05-25T13:10:25,0,21,0,21
2023-05-25T13:21:58,0,21,0,21
2023-05-25T13:33:31,0,21,0,21
2023-05-25T13:45:05,0,21,0,21
2023-05-25T13:56:38,0,21,0,21
2023-05-25T14:08:23,0,21,0,21
2023-05-25T14:19:56,0,21,0,21
2023-05-25T14:31:29,0,21,0,21
2023-05-25T14:43:02,0,21,0,21
2023-05-25T14:54:35,0,21,0,21
2023-05-25T15:06:19,0,21,0,21
2023-05-25T15:17:54,0,21,0,21
2023-05-25T15:29:28,0,21,0,21
2023-05-25T15:41:03,0,21,0,21
2023-05-25T15:52:37,0,21,0,21
2023-05-25T16:04:12,0,21,0,21
2023-05-25T16:15:57,0,21,0,21
2023-05-25T16:27:32,0,21,0,21
2023-05-25T16:39:07,0,21,0,21
2023-05-25T16:50:43,0,21,0,21
2023-05-25T17:02:19,0,21,0,21
2023-05-25T17:13:56,0,21,0,21
2023-05-25T17:25:42,0,21,0,21
2023-05-25T17:37:17,0,21,0,21
2023-05-25T17:48:54,0,21,0,21
2023-05-25T18:00:29,0,21,0,21
2023-05-25T18:12:06,0,21,0,21
2023-05-25T18:23:41,0,21,0,21
2023-05-25T18:35:27,0,21,0,21
2023-05-25T18:47:02,0,21,0,21
2023-05-25T18:58:38,0,21,0,21
2023-05-25T19:10:15,0,21,0,21
2023-05-25T19:21:50,0,21,0,21
2023-05-25T19:33:26,0,21,0,21
2023-05-25T19:45:02,0,21,0,21
2023-05-25T19:56:48,0,21,0,21
2023-05-25T20:08:23,0,21,0,21
2023-05-25T20:19:59,0,21,0,21
2023-05-25T20:31:35,0,21,0,21
2023-05-25T20:43:11,0,21,0,21
