time,enrolled,available,waitlisted,total
2023-05-25T01:23:37,0,99,0,99
2023-05-25T01:35:13,0,99,0,99
2023-05-25T01:46:58,0,99,0,99
2023-05-25T01:58:33,0,99,0,99
2023-05-25T02:10:09,0,99,0,99
2023-05-25T02:21:45,0,99,0,99
2023-05-25T02:33:20,0,99,0,99
2023-05-25T02:44:53,0,99,0,99
2023-05-25T02:56:26,0,99,0,99
2023-05-25T03:08:00,0,99,0,99
2023-05-25T03:19:39,0,99,0,99
2023-05-25T03:31:37,0,99,0,99
2023-05-25T03:43:14,0,99,0,99
2023-05-25T03:54:50,0,99,0,99
2023-05-25T04:06:25,0,99,0,99
2023-05-25T04:26:13,0,99,0,99
2023-05-25T04:37:49,0,99,0,99
2023-05-25T04:49:25,0,99,0,99
2023-05-25T05:01:01,0,99,0,99
2023-05-25T05:12:38,0,99,0,99
2023-05-25T05:24:14,0,99,0,99
2023-05-25T05:35:51,0,99,0,99
2023-05-25T05:47:27,0,99,0,99
2023-05-25T05:59:04,0,99,0,99
2023-05-25T06:10:39,0,99,0,99
2023-05-25T06:22:15,0,99,0,99
2023-05-25T06:33:49,0,99,0,99
2023-05-25T06:45:24,0,99,0,99
2023-05-25T06:57:00,0,99,0,99
2023-05-25T07:08:36,0,99,0,99
2023-05-25T07:20:10,0,99,0,99
2023-05-25T07:31:44,0,99,0,99
2023-05-25T07:43:20,0,99,0,99
2023-05-25T07:54:56,0,99,0,99
2023-05-25T08:06:31,0,99,0,99
2023-05-25T08:18:06,0,99,0,99
2023-05-25T08:29:50,0,99,0,99
2023-05-25T08:41:23,0,99,0,99
2023-05-25T08:52:55,0,99,0,99
2023-05-25T09:04:29,0,99,0,99
2023-05-25T09:16:01,0,99,0,99
2023-05-25T09:27:34,0,99,0,99
2023-05-25T09:39:07,0,99,0,99
2023-05-25T09:50:39,0,99,0,99
2023-05-25T10:02:13,0,99,0,99
2023-05-25T10:13:57,0,99,0,99
2023-05-25T10:25:30,0,99,0,99
2023-05-25T10:37:03,0,99,0,99
2023-05-25T10:48:36,0,99,0,99
2023-05-25T11:00:18,0,99,0,99
2023-05-25T11:11:50,0,99,0,99
2023-05-25T11:23:24,0,99,0,99
2023-05-25T11:34:56,0,99,0,99
2023-05-25T11:46:29,0,99,0,99
2023-05-25T11:58:13,0,99,0,99
2023-05-25T12:09:46,0,99,0,99
2023-05-25T12:21:19,0,99,0,99
2023-05-25T12:32:52,0,99,0,99
2023-05-25T12:44:25,0,99,0,99
2023-05-25T12:55:58,0,99,0,99
2023-05-25T13:07:41,0,99,0,99
2023-05-25T13:19:13,0,99,0,99
2023-05-25T13:30:47,0,99,0,99
2023-05-25T13:42:20,0,99,0,99
2023-05-25T13:53:53,0,99,0,99
2023-05-25T14:05:37,0,99,0,99
2023-05-25T14:17:11,0,99,0,99
2023-05-25T14:28:44,0,99,0,99
2023-05-25T14:40:17,0,99,0,99
2023-05-25T14:51:50,0,99,0,99
2023-05-25T15:03:34,0,99,0,99
2023-05-25T15:15:08,0,99,0,99
2023-05-25T15:26:43,0,99,0,99
2023-05-25T15:38:18,0,99,0,99
2023-05-25T15:49:52,0,99,0,99
2023-05-25T16:01:27,0,99,0,99
2023-05-25T16:13:12,0,99,0,99
2023-05-25T16:24:47,0,99,0,99
