time,enrolled,available,waitlisted,total
2023-05-25T01:23:53,0,10,0,10
2023-05-25T01:35:29,0,10,0,10
2023-05-25T01:47:13,0,10,0,10
2023-05-25T01:58:49,0,10,0,10
2023-05-25T02:10:25,0,10,0,10
2023-05-25T02:22:01,0,10,0,10
2023-05-25T02:33:35,0,10,0,10
2023-05-25T02:45:09,0,10,0,10
2023-05-25T02:56:42,0,10,0,10
2023-05-25T03:08:16,0,10,0,10
2023-05-25T03:19:55,0,10,0,10
2023-05-25T03:31:53,0,10,0,10
2023-05-25T03:43:30,0,10,0,10
2023-05-25T03:55:05,0,10,0,10
2023-05-25T04:06:41,0,10,0,10
2023-05-25T04:26:28,0,10,0,10
2023-05-25T04:38:05,0,10,0,10
2023-05-25T04:49:41,0,10,0,10
2023-05-25T05:01:17,0,10,0,10
2023-05-25T05:12:55,0,10,0,10
2023-05-25T05:24:30,0,10,0,10
2023-05-25T05:36:07,0,10,0,10
2023-05-25T05:47:43,0,10,0,10
2023-05-25T05:59:20,0,10,0,10
2023-05-25T06:10:55,0,10,0,10
2023-05-25T06:22:30,0,10,0,10
2023-05-25T06:34:05,0,10,0,10
2023-05-25T06:45:40,0,10,0,10
2023-05-25T06:57:15,0,10,0,10
2023-05-25T07:08:51,0,10,0,10
2023-05-25T07:20:26,0,10,0,10
2023-05-25T07:32:00,0,10,0,10
2023-05-25T07:43:36,0,10,0,10
2023-05-25T07:55:12,0,10,0,10
2023-05-25T08:06:47,0,10,0,10
2023-05-25T08:18:21,0,10,0,10
2023-05-25T08:30:06,0,10,0,10
2023-05-25T08:41:38,0,10,0,10
2023-05-25T08:53:10,0,10,0,10
2023-05-25T09:04:44,0,10,0,10
2023-05-25T09:16:17,0,10,0,10
2023-05-25T09:27:50,0,10,0,10
2023-05-25T09:39:22,0,10,0,10
2023-05-25T09:50:55,0,10,0,10
2023-05-25T10:02:28,0,10,0,10
2023-05-25T10:14:13,0,10,0,10
2023-05-25T10:25:46,0,10,0,10
2023-05-25T10:37:19,0,10,0,10
2023-05-25T10:48:51,0,10,0,10
2023-05-25T11:00:34,0,10,0,10
2023-05-25T11:12:06,0,10,0,10
2023-05-25T11:23:39,0,10,0,10
2023-05-25T11:35:12,0,10,0,10
2023-05-25T11:46:45,0,10,0,10
2023-05-25T11:58:29,0,10,0,10
2023-05-25T12:10:02,0,10,0,10
2023-05-25T12:21:35,0,10,0,10
2023-05-25T12:33:08,0,10,0,10
2023-05-25T12:44:41,0,10,0,10
2023-05-25T12:56:13,0,10,0,10
2023-05-25T13:07:56,0,10,0,10
2023-05-25T13:19:29,0,10,0,10
2023-05-25T13:31:03,0,10,0,10
2023-05-25T13:42:36,0,10,0,10
2023-05-25T13:54:09,0,10,0,10
2023-05-25T14:05:53,0,10,0,10
2023-05-25T14:17:27,0,10,0,10
2023-05-25T14:29:00,0,10,0,10
2023-05-25T14:40:33,0,10,0,10
2023-05-25T14:52:06,0,10,0,10
2023-05-25T15:03:50,0,10,0,10
2023-05-25T15:15:24,0,10,0,10
2023-05-25T15:26:59,0,10,0,10
2023-05-25T15:38:33,0,10,0,10
2023-05-25T15:50:08,0,10,0,10
2023-05-25T16:01:43,0,10,0,10
2023-05-25T16:13:28,0,10,0,10
2023-05-25T16:25:03,0,10,0,10
2023-05-25T16:36:38,0,10,0,10
2023-05-25T16:48:14,0,10,0,10
2023-05-25T16:59:50,0,10,0,10
2023-05-25T17:11:26,0,10,0,10
2023-05-25T17:23:13,0,10,0,10
2023-05-25T17:34:48,0,10,0,10
2023-05-25T17:46:25,0,10,0,10
2023-05-25T17:58:00,0,10,0,10
2023-05-25T18:09:37,0,10,0,10
2023-05-25T18:21:12,0,10,0,10
2023-05-25T18:32:48,0,10,0,10
2023-05-25T18:44:33,0,10,0,10
2023-05-25T18:56:09,0,10,0,10
2023-05-25T19:07:45,0,10,0,10
2023-05-25T19:19:22,0,10,0,10
2023-05-25T19:30:57,0,10,0,10
2023-05-25T19:42:33,0,10,0,10
2023-05-25T19:54:19,0,10,0,10
2023-05-25T20:05:54,0,10,0,10
2023-05-25T20:17:30,0,10,0,10
2023-05-25T20:29:06,0,10,0,10
2023-05-25T20:40:42,0,10,0,10
2023-05-25T20:52:18,0,10,0,10
2023-05-25T21:03:53,0,10,0,10
2023-05-25T21:15:29,0,10,0,10
2023-05-25T21:27:16,0,10,0,10
2023-05-25T21:38:52,0,10,0,10
2023-05-25T21:50:28,0,10,0,10
2023-05-25T22:02:03,0,10,0,10
2023-05-25T22:13:38,0,10,0,10
2023-05-25T22:25:13,0,10,0,10
2023-05-25T22:36:49,0,10,0,10
2023-05-25T22:48:35,0,10,0,10
2023-05-25T23:00:11,0,10,0,10
2023-05-25T23:11:49,0,10,0,10
2023-05-25T23:23:25,0,10,0,10
2023-05-25T23:35:01,0,10,0,10
2023-05-25T23:46:36,0,10,0,10
2023-05-25T23:58:13,0,10,0,10
2023-05-26T00:10:10,0,10,0,10
