time,enrolled,available,waitlisted,total
2023-07-31T14:58:58,0,25,0,25
2023-07-31T15:11:30,0,25,0,25
2023-07-31T15:24:04,0,25,0,25
2023-07-31T15:36:37,0,25,0,25
2023-07-31T15:49:12,0,25,0,25
2023-07-31T16:01:58,0,25,0,25
2023-07-31T16:14:31,0,25,0,25
2023-07-31T16:27:05,0,25,0,25
2023-07-31T16:39:38,0,25,0,25
2023-07-31T16:52:12,0,25,0,25
2023-07-31T17:04:46,0,25,0,25
2023-07-31T17:17:21,0,25,0,25
2023-07-31T17:29:55,0,25,0,25
2023-07-31T17:42:39,0,25,0,25
2023-07-31T17:55:13,0,25,0,25
2023-07-31T18:07:47,0,25,0,25
2023-07-31T18:20:21,0,25,0,25
2023-07-31T18:32:56,0,25,0,25
2023-07-31T18:45:31,0,25,0,25
2023-07-31T18:58:05,0,25,0,25
2023-07-31T19:10:40,0,25,0,25
2023-07-31T19:23:15,0,25,0,25
2023-07-31T19:35:49,0,25,0,25
2023-07-31T19:48:33,0,25,0,25
2023-07-31T20:01:06,0,25,0,25
2023-07-31T20:13:41,0,25,0,25
2023-07-31T20:26:14,0,25,0,25
2023-07-31T20:38:48,0,25,0,25
2023-07-31T20:51:22,0,25,0,25
2023-07-31T21:03:56,0,25,0,25
2023-07-31T21:16:30,0,25,0,25
2023-07-31T21:29:03,0,25,0,25
2023-07-31T21:41:37,0,25,0,25
2023-07-31T21:54:21,0,25,0,25
2023-07-31T22:06:55,0,25,0,25
2023-07-31T22:19:28,0,25,0,25
2023-07-31T22:32:01,0,25,0,25
2023-07-31T22:44:35,0,25,0,25
2023-07-31T22:57:08,0,25,0,25
2023-07-31T23:09:44,0,25,0,25
2023-07-31T23:22:19,0,25,0,25
2023-07-31T23:34:54,0,25,0,25
2023-07-31T23:47:28,0,25,0,25
2023-08-01T00:00:12,0,25,0,25
2023-08-01T00:12:49,0,25,0,25
2023-08-01T00:25:28,0,25,0,25
2023-08-01T00:38:06,0,25,0,25
2023-08-01T00:50:44,0,25,0,25
2023-08-01T01:03:22,0,25,0,25
2023-08-01T01:15:58,0,25,0,25
2023-08-01T01:28:37,0,25,0,25
2023-08-01T01:41:16,0,25,0,25
2023-08-01T01:53:53,0,25,0,25
2023-08-01T02:06:30,0,25,0,25
2023-08-01T02:19:09,0,25,0,25
2023-08-01T02:31:46,0,25,0,25
2023-08-01T02:44:22,0,25,0,25
2023-08-01T02:56:57,0,25,0,25
2023-08-01T03:09:34,0,25,0,25
2023-08-01T03:22:10,0,25,0,25
2023-08-01T03:34:46,0,25,0,25
2023-08-01T03:47:23,0,25,0,25
2023-08-01T04:00:11,0,25,0,25
2023-08-01T04:12:49,0,25,0,25
2023-08-01T04:32:07,0,25,0,25
2023-08-01T04:44:46,0,25,0,25
2023-08-01T04:57:24,0,25,0,25
2023-08-01T05:10:01,0,25,0,25
2023-08-01T05:22:34,0,25,0,25
2023-08-01T05:35:07,0,25,0,25
2023-08-01T05:47:45,0,25,0,25
2023-08-01T06:00:40,0,25,0,25
2023-08-01T06:13:19,0,25,0,25
2023-08-01T06:25:57,0,25,0,25
2023-08-01T06:38:33,0,25,0,25
2023-08-01T06:51:10,0,25,0,25
2023-08-01T07:03:47,0,25,0,25
2023-08-01T07:16:24,0,25,0,25
2023-08-01T07:29:00,0,25,0,25
2023-08-01T07:41:35,0,25,0,25
2023-08-01T07:54:09,0,25,0,25
2023-08-01T08:06:44,0,25,0,25
2023-08-01T08:19:20,0,25,0,25
2023-08-01T08:31:57,0,25,0,25
2023-08-01T08:44:32,0,25,0,25
2023-08-01T08:57:18,0,25,0,25
2023-08-01T09:09:53,0,25,0,25
2023-08-01T09:22:29,0,25,0,25
2023-08-01T09:35:06,0,25,0,25
2023-08-01T09:47:42,0,25,0,25
2023-08-01T10:00:17,0,25,0,25
2023-08-01T10:12:52,0,25,0,25
2023-08-01T10:25:29,0,25,0,25
2023-08-01T10:38:05,0,25,0,25
2023-08-01T10:50:40,0,25,0,25
2023-08-01T11:03:15,0,25,0,25
2023-08-01T11:15:50,1,24,0,25
2023-08-01T11:28:36,2,23,0,25
2023-08-01T11:41:11,2,23,0,25
2023-08-01T11:53:47,2,23,0,25
2023-08-01T12:06:21,2,23,0,25
2023-08-01T12:18:55,2,23,0,25
2023-08-01T12:31:29,2,23,0,25
2023-08-01T12:44:03,2,23,0,25
2023-08-01T12:56:37,2,23,0,25
2023-08-01T13:09:19,2,23,0,25
2023-08-01T13:22:03,2,23,0,25
2023-08-01T13:34:37,2,23,0,25
2023-08-01T13:47:11,2,23,0,25
2023-08-01T13:59:45,2,23,0,25
2023-08-01T14:12:21,2,23,0,25
2023-08-01T14:24:55,2,23,0,25
2023-08-01T14:37:30,2,23,0,25
2023-08-01T14:50:06,2,23,0,25
2023-08-01T15:02:41,2,23,0,25
2023-08-01T15:15:14,2,23,0,25
2023-08-01T15:27:49,2,23,0,25
2023-08-01T15:40:34,2,23,0,25
2023-08-01T15:53:08,2,23,0,25
2023-08-01T16:05:42,2,23,0,25
2023-08-01T16:18:17,2,23,0,25
2023-08-01T16:30:51,3,22,0,25
2023-08-01T16:43:26,3,22,0,25
2023-08-01T16:56:00,3,22,0,25
2023-08-01T17:08:35,3,22,0,25
2023-08-01T17:21:12,3,22,0,25
2023-08-01T17:33:46,3,22,0,25
2023-08-01T17:46:21,3,22,0,25
2023-08-01T17:59:06,3,22,0,25
2023-08-01T18:11:40,3,22,0,25
2023-08-01T18:24:15,3,22,0,25
2023-08-01T18:36:50,3,22,0,25
2023-08-01T18:49:24,3,22,0,25
2023-08-01T19:01:59,3,22,0,25
2023-08-01T19:14:33,3,22,0,25
2023-08-01T19:27:08,3,22,0,25
2023-08-01T19:39:42,3,22,0,25
2023-08-01T19:52:16,3,22,0,25
2023-08-01T20:04:51,3,22,0,25
2023-08-01T20:17:27,3,22,0,25
2023-08-01T20:30:02,3,22,0,25
2023-08-01T20:42:47,3,22,0,25
2023-08-01T20:55:22,3,22,0,25
2023-08-01T21:07:56,3,22,0,25
2023-08-01T21:20:30,3,22,0,25
2023-08-01T21:33:06,3,22,0,25
2023-08-01T21:45:41,3,22,0,25
2023-08-01T21:58:15,3,22,0,25
2023-08-01T22:10:49,3,22,0,25
2023-08-01T22:23:24,3,22,0,25
2023-08-01T22:35:59,3,22,0,25
2023-08-01T22:48:33,3,22,0,25
2023-08-01T23:01:08,3,22,0,25
2023-08-01T23:13:44,3,22,0,25
2023-08-01T23:26:29,3,22,0,25
2023-08-01T23:39:04,3,22,0,25
2023-08-01T23:51:39,3,22,0,25
2023-08-02T00:04:14,3,22,0,25
2023-08-02T00:16:53,3,22,0,25
2023-08-02T00:29:31,3,22,0,25
2023-08-02T00:42:09,3,22,0,25
2023-08-02T00:54:47,3,22,0,25
2023-08-02T01:07:26,3,22,0,25
2023-08-02T01:20:05,3,22,0,25
2023-08-02T01:32:43,3,22,0,25
2023-08-02T01:45:22,3,22,0,25
2023-08-02T01:58:04,3,22,0,25
2023-08-02T02:10:42,3,22,0,25
2023-08-02T02:23:19,3,22,0,25
