time,enrolled,available,waitlisted,total
2023-09-27T16:02:50,0,9999,0,9999
2023-09-27T16:15:53,0,9999,0,9999
2023-09-27T16:28:56,0,9999,0,9999
2023-09-27T16:42:11,0,9999,0,9999
2023-09-27T16:55:15,0,9999,0,9999
2023-09-27T17:08:19,0,9999,0,9999
2023-09-27T17:21:35,0,9999,0,9999
2023-09-27T17:34:38,0,9999,0,9999
2023-09-27T17:47:41,0,9999,0,9999
2023-09-27T18:00:43,0,9999,0,9999
2023-09-27T18:13:57,0,9999,0,9999
2023-09-27T18:27:00,0,9999,0,9999
2023-09-27T18:40:13,0,9999,0,9999
2023-09-27T18:53:15,0,9999,0,9999
2023-09-27T19:06:18,0,9999,0,9999
2023-09-27T19:19:21,0,9999,0,9999
2023-09-27T19:32:39,0,9999,0,9999
2023-09-27T19:45:42,0,9999,0,9999
2023-09-27T19:58:44,0,9999,0,9999
2023-09-27T20:11:46,0,9999,0,9999
2023-09-27T20:25:00,0,9999,0,9999
2023-09-27T20:38:02,0,9999,0,9999
2023-09-27T20:51:05,0,9999,0,9999
2023-09-27T21:04:19,0,9999,0,9999
2023-09-27T21:17:21,0,9999,0,9999
2023-09-27T21:30:36,0,9999,0,9999
2023-09-27T21:43:38,0,9999,0,9999
2023-09-27T21:56:41,0,9999,0,9999
2023-09-27T22:09:56,0,9999,0,9999
2023-09-27T22:22:59,0,9999,0,9999
2023-09-27T22:36:03,0,9999,0,9999
2023-09-27T22:49:17,0,9999,0,9999
2023-09-27T23:02:19,0,9999,0,9999
2023-09-27T23:15:35,0,9999,0,9999
2023-09-27T23:28:39,0,9999,0,9999
2023-09-27T23:41:45,0,9999,0,9999
2023-09-27T23:54:50,0,9999,0,9999
2023-09-28T00:09:23,0,9999,0,9999
2023-09-28T00:22:34,0,9999,0,9999
2023-09-28T00:35:41,0,9999,0,9999
2023-09-28T00:49:00,0,9999,0,9999
2023-09-28T01:02:06,0,9999,0,9999
2023-09-28T01:15:12,0,9999,0,9999
2023-09-28T01:28:18,0,9999,0,9999
2023-09-28T01:41:23,0,9999,0,9999
2023-09-28T01:54:32,0,9999,0,9999
2023-09-28T02:07:38,0,9999,0,9999
2023-09-28T02:20:55,0,9999,0,9999
2023-09-28T02:34:03,0,9999,0,9999
2023-09-28T02:47:07,0,9999,0,9999
2023-09-28T03:00:11,0,9999,0,9999
2023-09-28T03:13:15,0,9999,0,9999
2023-09-28T03:26:24,0,9999,0,9999
2023-09-28T03:39:29,0,9999,0,9999
2023-09-28T03:52:35,0,9999,0,9999
2023-09-28T04:05:43,0,9999,0,9999
2023-09-28T04:18:19,0,9999,0,9999
2023-09-28T04:33:03,0,9999,0,9999
2023-09-28T04:46:12,0,9999,0,9999
2023-09-28T04:59:20,0,9999,0,9999
2023-09-28T05:12:28,0,9999,0,9999
2023-09-28T05:25:34,0,9999,0,9999
2023-09-28T05:38:40,0,9999,0,9999
2023-09-28T05:51:47,0,9999,0,9999
2023-09-28T06:04:52,0,9999,0,9999
2023-09-28T06:17:58,0,9999,0,9999
2023-09-28T06:31:04,0,9999,0,9999
2023-09-28T06:44:10,0,9999,0,9999
2023-09-28T06:57:16,0,9999,0,9999
2023-09-28T07:10:22,0,9999,0,9999
2023-09-28T07:23:34,0,9999,0,9999
2023-09-28T07:36:38,0,9999,0,9999
2023-09-28T07:49:43,0,9999,0,9999
2023-09-28T08:02:50,0,9999,0,9999
2023-09-28T08:16:12,0,9999,0,9999
2023-09-28T08:29:16,0,9999,0,9999
2023-09-28T08:42:30,0,9999,0,9999
2023-09-28T08:55:34,0,9999,0,9999
2023-09-28T09:08:49,0,9999,0,9999
2023-09-28T09:21:53,0,9999,0,9999
2023-09-28T09:35:15,0,9999,0,9999
2023-09-28T09:48:22,0,9999,0,9999
2023-09-28T10:01:35,0,9999,0,9999
2023-09-28T10:14:55,1,9998,0,9999
2023-09-28T10:27:58,1,9998,0,9999
2023-09-28T10:41:12,1,9998,0,9999
2023-09-28T10:54:24,1,9998,0,9999
2023-09-28T11:07:28,1,9998,0,9999
2023-09-28T11:20:41,1,9998,0,9999
2023-09-28T11:33:54,1,9998,0,9999
2023-09-28T11:46:58,1,9998,0,9999
2023-09-28T12:00:10,1,9998,0,9999
2023-09-28T12:13:29,1,9998,0,9999
2023-09-28T12:26:32,1,9998,0,9999
2023-09-28T12:39:45,1,9998,0,9999
2023-09-28T12:53:07,1,9998,0,9999
2023-09-28T13:06:11,1,9998,0,9999
2023-09-28T13:19:24,1,9998,0,9999
2023-09-28T13:32:26,1,9998,0,9999
2023-09-28T13:45:48,1,9998,0,9999
2023-09-28T13:58:50,1,9998,0,9999
2023-09-28T14:12:05,1,9998,0,9999
2023-09-28T14:25:24,1,9998,0,9999
2023-09-28T14:38:27,1,9998,0,9999
2023-09-28T14:51:41,1,9998,0,9999
2023-09-28T15:04:44,1,9998,0,9999
2023-09-28T15:17:57,1,9998,0,9999
2023-09-28T15:31:20,1,9998,0,9999
2023-09-28T15:44:23,1,9998,0,9999
2023-09-28T15:57:36,1,9998,0,9999
2023-09-28T16:10:39,1,9998,0,9999
2023-09-28T16:24:01,1,9998,0,9999
2023-09-28T16:37:04,1,9998,0,9999
2023-09-28T16:50:06,1,9998,0,9999
2023-09-28T17:03:23,1,9998,0,9999
2023-09-28T17:16:28,1,9998,0,9999
2023-09-28T17:29:49,1,9998,0,9999
2023-09-28T17:42:51,1,9998,0,9999
2023-09-28T17:55:53,1,9998,0,9999
2023-09-28T18:09:19,1,9998,0,9999
2023-09-28T18:22:21,1,9998,0,9999
2023-09-28T18:35:23,1,9998,0,9999
2023-09-28T18:48:25,1,9998,0,9999
2023-09-28T19:01:39,1,9998,0,9999
2023-09-28T19:14:40,1,9998,0,9999
2023-09-28T19:27:42,1,9998,0,9999
2023-09-28T19:40:54,1,9998,0,9999
2023-09-28T19:53:56,1,9998,0,9999
2023-09-28T20:06:57,1,9998,0,9999
2023-09-28T20:19:59,1,9998,0,9999
2023-09-28T20:33:01,1,9998,0,9999
2023-09-28T20:46:13,1,9998,0,9999
2023-09-28T20:59:14,1,9998,0,9999
2023-09-28T21:12:16,1,9998,0,9999
2023-09-28T21:25:18,1,9998,0,9999
2023-09-28T21:38:31,1,9998,0,9999
2023-09-28T21:51:33,1,9998,0,9999
2023-09-28T22:04:35,1,9998,0,9999
2023-09-28T22:17:37,1,9998,0,9999
