time,enrolled,available,waitlisted,total
2023-09-20T15:22:28,0,12,0,12
2023-09-20T15:35:39,0,12,0,12
2023-09-20T15:48:40,0,12,0,12
2023-09-20T16:01:40,0,12,0,12
2023-09-20T16:14:39,0,12,0,12
2023-09-20T16:27:40,0,12,0,12
2023-09-20T16:40:40,0,12,0,12
2023-09-20T16:53:40,0,12,0,12
2023-09-20T17:06:52,0,12,0,12
2023-09-20T17:19:55,0,12,0,12
2023-09-20T17:32:55,0,12,0,12
2023-09-20T17:45:55,0,12,0,12
2023-09-20T17:58:57,0,12,0,12
2023-09-20T18:11:57,0,12,0,12
2023-09-20T18:24:57,0,12,0,12
2023-09-20T18:38:07,0,12,0,12
2023-09-20T18:51:06,0,12,0,12
2023-09-20T19:04:07,0,12,0,12
2023-09-20T19:17:07,0,12,0,12
2023-09-20T19:30:09,0,12,0,12
2023-09-20T19:43:10,0,12,0,12
2023-09-20T19:56:10,0,12,0,12
2023-09-20T20:09:21,0,12,0,12
2023-09-20T20:22:22,0,12,0,12
2023-09-20T20:35:22,0,12,0,12
2023-09-20T20:48:22,0,12,0,12
2023-09-20T21:01:22,0,12,0,12
2023-09-20T21:14:22,0,12,0,12
2023-09-20T21:27:33,0,12,0,12
2023-09-20T21:40:34,0,12,0,12
2023-09-20T21:53:34,0,12,0,12
2023-09-20T22:06:34,0,12,0,12
2023-09-20T22:19:34,0,12,0,12
2023-09-20T22:32:35,0,12,0,12
2023-09-20T22:45:36,0,12,0,12
2023-09-20T22:58:46,0,12,0,12
2023-09-20T23:11:47,0,12,0,12
2023-09-20T23:24:48,0,12,0,12
2023-09-20T23:37:48,0,12,0,12
2023-09-20T23:50:48,0,12,0,12
2023-09-21T00:03:49,0,12,0,12
2023-09-21T00:16:56,0,12,0,12
2023-09-21T00:30:00,0,12,0,12
2023-09-21T00:43:05,0,12,0,12
2023-09-21T00:56:21,0,12,0,12
2023-09-21T01:09:26,0,12,0,12
2023-09-21T01:22:30,0,12,0,12
2023-09-21T01:35:33,0,12,0,12
2023-09-21T01:48:38,0,12,0,12
2023-09-21T02:01:42,0,12,0,12
2023-09-21T02:14:47,0,12,0,12
2023-09-21T02:27:49,0,12,0,12
2023-09-21T02:40:52,0,12,0,12
2023-09-21T02:53:54,0,12,0,12
2023-09-21T03:06:56,0,12,0,12
